Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,1,Survey of Art & Arch,0.44,0.42,0.11,0.0,0.0,0.0,0.0,0.02,beth ann lauritis,False,AAH-1010,2014
AAH,2050,1,Art History and Theo,0.86,0.11,0.0,0.0,0.0,0.0,0.0,0.04,beth ann lauritis,False,AAH-2050,2014
AAH,2100,400,Intro to Art and Arc,0.23,0.42,0.12,0.12,0.08,0.0,0.0,0.04,lydia jane dorsey,False,AAH-2100,2014
AAH,2100,401,Intro to Art and Arc,0.45,0.34,0.14,0.07,0.0,0.0,0.0,0.0,lydia jane dorsey,False,AAH-2100,2014
AAH,2100,402,Intro to Art and Arc,0.28,0.4,0.16,0.08,0.0,0.0,0.0,0.08,lydia jane dorsey,False,AAH-2100,2014
AAH,2100,403,Intro to Art and Arc,0.39,0.43,0.0,0.04,0.07,0.0,0.0,0.07,lydia jane dorsey,False,AAH-2100,2014
AAH,3050,1,Contemporary Art His,0.6,0.2,0.13,0.0,0.0,0.0,0.0,0.07,andrea feeser,False,AAH-3050,2014
ACCT,2010,1,Financial Accounting,0.04,0.22,0.3,0.02,0.15,0.0,0.0,0.26,philip maiberger,False,ACCT-2010,2014
ACCT,2010,2,Financial Accounting,0.13,0.3,0.28,0.09,0.04,0.0,0.0,0.17,philip maiberger,False,ACCT-2010,2014
ACCT,2010,3,Financial Accounting,0.19,0.22,0.22,0.08,0.1,0.0,0.0,0.18,suzanne pearse,False,ACCT-2010,2014
ACCT,2010,4,Financial Accounting,0.3,0.3,0.2,0.05,0.07,0.0,0.0,0.09,suzanne pearse,False,ACCT-2010,2014
ACCT,2010,5,Fin Acct Concepts (H,0.63,0.37,0.0,0.0,0.0,0.0,0.0,0.0,the estate guffey,True,ACCT-2010,2014
ACCT,2010,6,Financial Accounting,0.24,0.33,0.24,0.07,0.05,0.0,0.0,0.07,annieka philo,False,ACCT-2010,2014
ACCT,2010,7,Financial Accounting,0.24,0.27,0.11,0.08,0.16,0.0,0.0,0.14,lydia lancaster folger schleifer,False,ACCT-2010,2014
ACCT,2010,8,Financial Accounting,0.24,0.33,0.14,0.04,0.1,0.0,0.0,0.14,lydia lancaster folger schleifer,False,ACCT-2010,2014
ACCT,2010,9,Financial Accounting,0.12,0.34,0.24,0.07,0.1,0.0,0.0,0.12,annieka philo,False,ACCT-2010,2014
ACCT,2010,10,Financial Accounting,0.26,0.13,0.26,0.08,0.05,0.0,0.0,0.23,lydia lancaster folger schleifer,False,ACCT-2010,2014
ACCT,2010,11,Financial Accounting,0.2,0.18,0.25,0.15,0.05,0.0,0.0,0.18,james milton kohlmeyer,False,ACCT-2010,2014
ACCT,2010,12,Financial Accounting,0.27,0.24,0.27,0.12,0.02,0.0,0.0,0.07,james milton kohlmeyer,False,ACCT-2010,2014
ACCT,2010,13,Financial Accounting,0.19,0.43,0.16,0.1,0.03,0.0,0.0,0.09,the estate guffey,False,ACCT-2010,2014
ACCT,2010,14,Financial Accounting,0.09,0.31,0.2,0.13,0.09,0.0,0.0,0.19,jeffrey mcmillan,False,ACCT-2010,2014
ACCT,2010,15,Financial Accounting,0.03,0.28,0.23,0.15,0.17,0.0,0.0,0.13,james milton kohlmeyer,False,ACCT-2010,2014
ACCT,2020,1,Managerial Accountin,0.18,0.31,0.2,0.06,0.08,0.0,0.0,0.18,henry anderson,False,ACCT-2020,2014
ACCT,2020,2,Managerial Accountin,0.23,0.28,0.19,0.04,0.09,0.0,0.0,0.17,henry anderson,False,ACCT-2020,2014
ACCT,2020,3,Managerial Accountin,0.17,0.37,0.25,0.1,0.06,0.0,0.0,0.06,annieka philo,False,ACCT-2020,2014
ACCT,2020,4,Managerial Accountin,0.24,0.27,0.25,0.12,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2020,2014
ACCT,2020,6,Managerial Accountin,0.57,0.22,0.14,0.0,0.02,0.0,0.0,0.06,sarah martin,False,ACCT-2020,2014
ACCT,2020,7,Managerial Accountin,0.14,0.21,0.31,0.03,0.12,0.0,0.0,0.21,henry anderson,False,ACCT-2020,2014
ACCT,2020,8,Managerial Accountin,0.67,0.27,0.0,0.0,0.0,0.0,0.0,0.07,sarah martin,False,ACCT-2020,2014
ACCT,2040,1,Accounting Procedure,0.53,0.25,0.08,0.02,0.02,0.0,0.0,0.11,jeffrey mcmillan,False,ACCT-2040,2014
ACCT,2040,2,Accounting Procedure,0.37,0.25,0.14,0.02,0.03,0.0,0.0,0.19,jeffrey mcmillan,False,ACCT-2040,2014
ACCT,3030,1,Cost Accounting,0.31,0.24,0.28,0.0,0.03,0.0,0.0,0.14,henry anderson,False,ACCT-3030,2014
ACCT,3030,2,Cost Accounting,0.22,0.35,0.22,0.05,0.11,0.0,0.0,0.05,henry anderson,False,ACCT-3030,2014
ACCT,3030,3,Cost Accounting,0.38,0.28,0.23,0.0,0.05,0.0,0.0,0.05,robin radtke,False,ACCT-3030,2014
ACCT,3030,5,Cost Accounting,0.28,0.35,0.13,0.03,0.1,0.0,0.0,0.13,robin radtke,False,ACCT-3030,2014
ACCT,3110,1,Intermed Financial A,0.5,0.31,0.13,0.06,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3110,2014
ACCT,3110,2,Intermed Financial A,0.51,0.36,0.05,0.03,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3110,2014
ACCT,3110,3,Intermed Financial A,0.38,0.23,0.28,0.05,0.0,0.0,0.0,0.05,terry daniel knause,False,ACCT-3110,2014
ACCT,3110,5,Intermed Financial A,0.35,0.32,0.19,0.05,0.0,0.0,0.0,0.08,terry daniel knause,False,ACCT-3110,2014
ACCT,3120,1,Intermed Financial A,0.03,0.18,0.41,0.21,0.09,0.0,0.0,0.09,brian todd carver,False,ACCT-3120,2014
ACCT,3120,2,Intermed Financial A,0.17,0.3,0.26,0.09,0.07,0.0,0.0,0.11,suzanne pearse,False,ACCT-3120,2014
ACCT,3120,3,Intermed Financial A,0.05,0.18,0.37,0.18,0.08,0.0,0.0,0.13,brian todd carver,False,ACCT-3120,2014
ACCT,3120,4,Intermed Financial A,0.09,0.31,0.36,0.16,0.02,0.0,0.0,0.07,suzanne pearse,False,ACCT-3120,2014
ACCT,3130,1,Intermed Financial A,0.17,0.42,0.42,0.0,0.0,0.0,0.0,0.0,russell madray,False,ACCT-3130,2014
ACCT,3130,2,Intermed Financial A,0.19,0.47,0.22,0.06,0.0,0.0,0.0,0.06,russell madray,False,ACCT-3130,2014
ACCT,3130,3,Intermed Financial A,0.21,0.47,0.24,0.0,0.05,0.0,0.0,0.03,russell madray,False,ACCT-3130,2014
ACCT,3130,5,Intermed Financial A,0.18,0.24,0.42,0.05,0.05,0.0,0.0,0.05,russell madray,False,ACCT-3130,2014
ACCT,3220,1,Accounting Informati,0.21,0.26,0.31,0.08,0.05,0.0,0.0,0.1,philip maiberger,False,ACCT-3220,2014
ACCT,3220,2,Accounting Informati,0.15,0.41,0.08,0.13,0.08,0.0,0.0,0.15,philip maiberger,False,ACCT-3220,2014
ACCT,3220,3,Accounting Informati,0.2,0.55,0.15,0.0,0.05,0.0,0.0,0.05,nancy lee harp,False,ACCT-3220,2014
ACCT,4040,2,Individual Taxation,0.36,0.36,0.24,0.02,0.0,0.0,0.0,0.02,derek dalton,False,ACCT-4040,2014
ACCT,4040,3,Individual Taxation,0.1,0.44,0.28,0.03,0.05,0.0,0.0,0.1,derek dalton,False,ACCT-4040,2014
ACCT,4080,1,Retire & Estate Plan,0.45,0.36,0.09,0.09,0.0,0.0,0.0,0.0,john hine,False,ACCT-4080,2014
ACCT,4100,1,Reporting and Mgmt C,0.34,0.42,0.18,0.03,0.0,0.0,0.0,0.03,sally kathr widener,False,ACCT-4100,2014
ACCT,4100,2,Reporting and Mgmt C,0.57,0.3,0.04,0.04,0.04,0.0,0.0,0.0,sally kathr widener,False,ACCT-4100,2014
ACCT,4150,1,Auditing,0.06,0.34,0.38,0.19,0.03,0.0,0.0,0.0,carl hollingsworth,False,ACCT-4150,2014
ACCT,4150,2,Auditing,0.32,0.42,0.1,0.06,0.03,0.0,0.0,0.06,carl hollingsworth,False,ACCT-4150,2014
ACCT,8510,1,Tax Research,0.25,0.59,0.16,0.0,0.0,0.0,0.0,0.0,thomas dickens,False,ACCT-8510,2014
ACCT,8510,2,Tax Research,0.06,0.79,0.12,0.0,0.03,0.0,0.0,0.0,thomas dickens,False,ACCT-8510,2014
ACCT,8530,1,Adv Acct Problems,0.52,0.36,0.09,0.0,0.0,0.0,0.0,0.03,ralph welton,False,ACCT-8530,2014
ACCT,8530,2,Adv Acct Problems,0.48,0.42,0.03,0.0,0.06,0.0,0.0,0.0,ralph welton,False,ACCT-8530,2014
ACCT,8550,1,Gov't and Nonprofit,0.59,0.35,0.03,0.0,0.03,0.0,0.0,0.0,james barnes,False,ACCT-8550,2014
ACCT,8550,2,Gov't and Nonprofit,0.64,0.36,0.0,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8550,2014
ACCT,8630,1,Forensics Analysis,0.47,0.47,0.06,0.0,0.0,0.0,0.0,0.0,james irving,False,ACCT-8630,2014
ACCT,8630,2,Forensics Analysis,0.33,0.58,0.08,0.0,0.0,0.0,0.0,0.0,james irving,False,ACCT-8630,2014
ACCT,8630,3,Forensics Analysis,0.53,0.42,0.05,0.0,0.0,0.0,0.0,0.0,james irving,False,ACCT-8630,2014
ACCT,8730,1,Intl/Spec Tax Topic,0.32,0.42,0.21,0.0,0.0,0.0,0.0,0.05,judson jahn,False,ACCT-8730,2014
ACCT,8730,2,Intl/Spec Tax Topic,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,judson jahn,False,ACCT-8730,2014
AGED,1020,1,Freshman Seminar,0.85,0.1,0.0,0.0,0.0,0.0,0.0,0.05,christina mel leard,False,AGED-1020,2014
AGED,2010,1,Intro to Agric Educ,0.53,0.37,0.11,0.0,0.0,0.0,0.0,0.0,philip fravel,False,AGED-2010,2014
AGED,2040,1,App Ag Calculations,0.45,0.36,0.18,0.0,0.0,0.0,0.0,0.0,philip fravel,False,AGED-2040,2014
AGED,3030,1,Ag Ed Mech Tech,0.57,0.33,0.1,0.0,0.0,0.0,0.0,0.0,philip fravel,False,AGED-3030,2014
AGED,3650,1,Multiculturalism in,0.84,0.11,0.0,0.0,0.0,0.0,0.0,0.05,alex byrd,False,AGED-3650,2014
AGED,4010,1,Instr Methods Ag Ed,0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,thomas dobbins,False,AGED-4010,2014
AGED,4010,1,Instr Methods Ag Ed,0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,kevin layfield,False,AGED-4010,2014
AGED,4030,1,Prin Adult/Ext Ed,0.55,0.1,0.2,0.0,0.05,0.0,0.0,0.1,freddie waltz,False,AGED-4030,2014
AGED,4230,400,Curriculum,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,kevin layfield,False,AGED-4230,2014
AGED,6010,1,Instr Methods Ag Ed,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,kevin layfield,False,AGED-6010,2014
AGED,6010,1,Instr Methods Ag Ed,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,thomas dobbins,False,AGED-6010,2014
AGM,1010,1,Intro Ag Mech & Bus,0.64,0.25,0.07,0.02,0.02,0.0,0.0,0.0,hunter massey,False,AGM-1010,2014
AGM,2050,1,Prin of Fabrication,0.15,0.52,0.28,0.01,0.01,0.0,0.0,0.01,hunter massey,False,AGM-2050,2014
AGM,2060,1,Machinery Mgt,0.15,0.4,0.3,0.15,0.0,0.0,0.0,0.0,hunter massey,False,AGM-2060,2014
AGM,2190,1,Agribuxiness and Foo,0.24,0.45,0.29,0.02,0.0,0.0,0.0,0.0,wilder ferreira,False,AGM-2190,2014
AGM,2210,1,Land Measurements,0.44,0.4,0.12,0.01,0.03,0.0,0.0,0.0,charles privette,False,AGM-2210,2014
AGM,3010,1,Soil Water Conserv,0.29,0.41,0.14,0.1,0.06,0.0,0.0,0.0,calvin sawyer,False,AGM-3010,2014
AGM,3190,1,Agribusiness Decisio,0.38,0.28,0.22,0.13,0.0,0.0,0.0,0.0,wilder ferreira,False,AGM-3190,2014
AGM,4050,1,Env Cont in Anim Str,0.38,0.56,0.05,0.0,0.0,0.0,0.0,0.0,john chastain,False,AGM-4050,2014
AGM,4060,1,Mech & Hydraulic Sys,0.42,0.45,0.12,0.0,0.0,0.0,0.0,0.0,young han,False,AGM-4060,2014
AGM,4600,1,Electrical Systems,0.42,0.52,0.06,0.0,0.0,0.0,0.0,0.0,young han,False,AGM-4600,2014
AL,3490,400,Principles of Coachi,0.36,0.4,0.12,0.04,0.0,0.0,0.0,0.08,deborah jo cadorette,False,AL-3490,2014
AL,3490,401,Principles of Coachi,0.52,0.33,0.15,0.0,0.0,0.0,0.0,0.0,deborah jo cadorette,False,AL-3490,2014
AL,3490,402,Principles of Coachi,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.0,julia wright,False,AL-3490,2014
AL,3490,403,Principles of Coachi,0.41,0.35,0.0,0.18,0.06,0.0,0.0,0.0,clyde keith connor,False,AL-3490,2014
AL,3500,400,Sci Basis I/Ex Phy,0.22,0.44,0.26,0.04,0.04,0.0,0.0,0.0,michael godfrey,False,AL-3500,2014
AL,3500,401,Sci Basis I/Ex Phy,0.28,0.12,0.16,0.32,0.08,0.0,0.0,0.04,michael godfrey,False,AL-3500,2014
AL,3520,400,Kinesiology,0.29,0.21,0.21,0.14,0.14,0.0,0.0,0.0,michael godfrey,False,AL-3520,2014
AL,3530,400,Athletic Injuries,0.16,0.47,0.21,0.11,0.05,0.0,0.0,0.0,isaac sean colbert,False,AL-3530,2014
AL,3530,401,Athletic Injuries,0.15,0.25,0.15,0.35,0.1,0.0,0.0,0.0,isaac sean colbert,False,AL-3530,2014
AL,3600,400,Hgh Sch Athl Ethical,0.43,0.25,0.18,0.07,0.04,0.0,0.0,0.04,clyde keith connor,False,AL-3600,2014
AL,3610,400,Admin/Org of Athleti,0.73,0.19,0.04,0.0,0.04,0.0,0.0,0.0,henry oates,False,AL-3610,2014
AL,3610,401,Admin/Org of Athleti,0.73,0.23,0.04,0.0,0.0,0.0,0.0,0.0,henry oates,False,AL-3610,2014
AL,3610,402,Admin/Org of Athleti,0.8,0.12,0.0,0.0,0.04,0.0,0.0,0.04,henry oates,False,AL-3610,2014
AL,3620,400,Psychology of Coachi,0.28,0.28,0.24,0.12,0.04,0.0,0.0,0.04,natalie anne carter,False,AL-3620,2014
AL,3620,401,Psychology of Coachi,0.24,0.2,0.44,0.12,0.0,0.0,0.0,0.0,natalie anne carter,False,AL-3620,2014
AL,3740,400,Coaching Football,0.67,0.07,0.0,0.19,0.0,0.0,0.0,0.07,edmond fry,False,AL-3740,2014
AL,3760,400,Coaching Strength/Co,0.79,0.08,0.04,0.08,0.0,0.0,0.0,0.0,edmond fry,False,AL-3760,2014
AL,3760,401,Coaching Strength/Co,0.42,0.21,0.05,0.16,0.05,0.0,0.0,0.11,edmond fry,False,AL-3760,2014
AL,4380,400,Coach & Athlete in E,0.5,0.14,0.29,0.07,0.0,0.0,0.0,0.0,deborah jo cadorette,False,AL-4380,2014
AL,8490,400,Athletic Leadership,0.52,0.35,0.04,0.0,0.04,0.0,0.0,0.04,michael godfrey,False,AL-8490,2014
ANTH,2010,1,Intro Anthropology,0.07,0.17,0.32,0.19,0.08,0.0,0.0,0.18,john coggeshall,False,ANTH-2010,2014
ANTH,2010,1,Introduction to Anth,0.07,0.17,0.32,0.19,0.08,0.0,0.0,0.18,john coggeshall,False,ANTH-2010,2014
ANTH,2010,2,Intro Anthropology,0.15,0.21,0.29,0.21,0.08,0.0,0.0,0.06,john coggeshall,False,ANTH-2010,2014
ANTH,2010,2,Introduction to Anth,0.15,0.21,0.29,0.21,0.08,0.0,0.0,0.06,john coggeshall,False,ANTH-2010,2014
ANTH,2010,3,Introduction to Anth,0.24,0.59,0.08,0.04,0.02,0.0,0.0,0.02,katherine weisensee,False,ANTH-2010,2014
ANTH,2010,3,Intro Anthropology,0.24,0.59,0.08,0.04,0.02,0.0,0.0,0.02,katherine weisensee,False,ANTH-2010,2014
ANTH,2010,4,Introduction to Anth,0.17,0.44,0.18,0.07,0.0,0.0,0.0,0.15,melissa vogel,False,ANTH-2010,2014
ANTH,2010,4,Intro Anthropology,0.17,0.44,0.18,0.07,0.0,0.0,0.0,0.15,melissa vogel,False,ANTH-2010,2014
ANTH,2010,5,Introduction to Anth,0.29,0.4,0.18,0.0,0.04,0.0,0.0,0.09,lisa rapaport,False,ANTH-2010,2014
ANTH,2010,5,Intro Anthropology,0.29,0.4,0.18,0.0,0.04,0.0,0.0,0.09,lisa rapaport,False,ANTH-2010,2014
