Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1,Survey of Art & Arch Hist II,0.5,0.42,0.05,0.0,0.0,0.0,0.0,0.01,beth ann lauritis,False,AAH-1020,2021
AAH,2060,1,Art History and Theory II,0.88,0.06,0.06,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-2060,2021
ACCT,2010,1,Financial Accounting Conc,0.45,0.2,0.13,0.09,0.11,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,2,Financial Accounting Conc,0.55,0.22,0.09,0.02,0.09,0.0,0.0,0.03,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,3,Financial Accounting Conc,0.25,0.29,0.15,0.09,0.09,0.0,0.0,0.13,michael john mcguigan,False,ACCT-2010,2021
ACCT,2010,4,Financial Accounting Conc,0.44,0.22,0.18,0.07,0.07,0.0,0.0,0.02,michael john mcguigan,False,ACCT-2010,2021
ACCT,2010,5,Financial Accounting Conc,0.38,0.24,0.26,0.02,0.04,0.0,0.0,0.06,julie grant,False,ACCT-2010,2021
ACCT,2010,6,Financial Accounting Conc,0.28,0.26,0.36,0.06,0.02,0.0,0.0,0.02,julie grant,False,ACCT-2010,2021
ACCT,2010,7,Financial Accounting Conc,0.26,0.3,0.3,0.04,0.04,0.0,0.0,0.04,julie grant,False,ACCT-2010,2021
ACCT,2010,8,Financial Accounting Conc,0.32,0.33,0.14,0.12,0.04,0.0,0.0,0.05,julie grant,False,ACCT-2010,2021
ACCT,2010,9,Financial Accounting Conc,0.49,0.26,0.16,0.07,0.02,0.0,0.0,0.0,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,10,Financial Accounting Conc,0.36,0.33,0.24,0.02,0.05,0.0,0.0,0.0,charles tegen,False,ACCT-2010,2021
ACCT,2010,11,Financial Accounting Conc,0.1,0.35,0.26,0.09,0.06,0.0,0.0,0.13,russell madray,False,ACCT-2010,2021
ACCT,2010,12,Financial Accounting Conc,0.13,0.3,0.27,0.13,0.04,0.0,0.0,0.12,russell madray,False,ACCT-2010,2021
ACCT,2010,13,Financial Accounting Conc,0.2,0.34,0.2,0.11,0.11,0.0,0.0,0.05,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,14,Financial Accounting Conc,0.23,0.3,0.34,0.04,0.05,0.0,0.0,0.04,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,107,Fin Acct Concepts (HON),0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,julie grant,True,ACCT-2010,2021
ACCT,2010,400,Financial Accounting Conc,0.21,0.24,0.37,0.13,0.01,0.0,0.0,0.04,emily suzanne mccorkle,False,ACCT-2010,2021
ACCT,2010,401,Financial Accounting Conc,0.07,0.36,0.14,0.12,0.13,0.0,0.0,0.17,russell madray,False,ACCT-2010,2021
ACCT,2020,1,Managerial Accounting Co,0.14,0.17,0.23,0.11,0.11,0.0,0.0,0.25,brian todd carver,False,ACCT-2020,2021
ACCT,2020,2,Managerial Accounting Co,0.44,0.29,0.15,0.04,0.0,0.0,0.0,0.08,david garrison,False,ACCT-2020,2021
ACCT,2020,3,Managerial Accounting Co,0.45,0.38,0.15,0.0,0.0,0.0,0.0,0.02,david garrison,False,ACCT-2020,2021
ACCT,2020,4,Managerial Accounting Co,0.51,0.3,0.04,0.09,0.0,0.0,0.0,0.06,david garrison,False,ACCT-2020,2021
ACCT,2020,5,Managerial Accounting Co,0.4,0.38,0.16,0.02,0.04,0.0,0.0,0.0,david garrison,False,ACCT-2020,2021
ACCT,2020,101,Mgr Acct Concepts (HON),0.33,0.58,0.08,0.0,0.0,0.0,0.0,0.0,emily suzanne mccorkle,True,ACCT-2020,2021
ACCT,2020,400,Managerial Accounting Co,0.31,0.24,0.29,0.13,0.02,0.0,0.0,0.02,emily suzanne mccorkle,False,ACCT-2020,2021
ACCT,2020,401,Managerial Accounting Co,0.21,0.38,0.24,0.12,0.03,0.0,0.0,0.02,emily suzanne mccorkle,False,ACCT-2020,2021
ACCT,2020,402,Managerial Accounting Co,0.26,0.39,0.15,0.08,0.06,0.0,0.0,0.05,emily suzanne mccorkle,False,ACCT-2020,2021
ACCT,3030,1,Cost Accounting,0.19,0.38,0.21,0.07,0.12,0.0,0.0,0.02,brian todd carver,False,ACCT-3030,2021
ACCT,3030,2,Cost Accounting,0.23,0.19,0.37,0.07,0.02,0.0,0.0,0.12,brian todd carver,False,ACCT-3030,2021
ACCT,3030,3,Cost Accounting,0.33,0.38,0.17,0.07,0.05,0.0,0.0,0.0,robin radtke,False,ACCT-3030,2021
ACCT,3030,4,Cost Accounting,0.24,0.44,0.27,0.02,0.0,0.0,0.0,0.02,robin radtke,False,ACCT-3030,2021
ACCT,3030,5,Cost Accounting,0.24,0.39,0.24,0.11,0.03,0.0,0.0,0.0,jace garrett,False,ACCT-3030,2021
ACCT,3030,6,Cost Accounting,0.19,0.4,0.29,0.05,0.0,0.0,0.0,0.07,jace garrett,False,ACCT-3030,2021
ACCT,3110,1,Intermediate Financial Acc,0.18,0.42,0.29,0.03,0.0,0.0,0.0,0.08,annieka philo,False,ACCT-3110,2021
ACCT,3110,2,Intermediate Financial Acc,0.24,0.47,0.21,0.08,0.0,0.0,0.0,0.0,annieka philo,False,ACCT-3110,2021
ACCT,3110,3,Intermediate Financial Acc,0.18,0.45,0.13,0.13,0.03,0.0,0.0,0.08,annieka philo,False,ACCT-3110,2021
ACCT,3110,4,Intermediate Financial Acc,0.35,0.35,0.16,0.05,0.05,0.0,0.0,0.03,annieka philo,False,ACCT-3110,2021
ACCT,3110,5,Intermediate Financial Acc,0.13,0.39,0.34,0.11,0.0,0.0,0.0,0.03,brian goodson,False,ACCT-3110,2021
ACCT,3110,6,Intermediate Financial Acc,0.13,0.38,0.41,0.05,0.0,0.0,0.0,0.03,brian goodson,False,ACCT-3110,2021
ACCT,3110,7,Intermediate Financial Acc,0.17,0.33,0.33,0.03,0.06,0.0,0.0,0.08,amy donnelly,False,ACCT-3110,2021
ACCT,3110,8,Intermediate Financial Acc,0.0,0.39,0.32,0.23,0.06,0.0,0.0,0.0,amy donnelly,False,ACCT-3110,2021
ACCT,3110,9,Intermediate Financial Acc,0.03,0.16,0.22,0.22,0.27,0.0,0.0,0.11,philip maiberger,False,ACCT-3110,2021
ACCT,3110,108,Intermediate Fin Acct I (HO,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,amy donnelly,True,ACCT-3110,2021
ACCT,3120,1,Intermediate Financial Acc,0.27,0.56,0.12,0.0,0.02,0.0,0.0,0.02,mary gibson,False,ACCT-3120,2021
ACCT,3120,2,Intermediate Financial Acc,0.28,0.44,0.19,0.07,0.02,0.0,0.0,0.0,mary gibson,False,ACCT-3120,2021
ACCT,3120,3,Intermediate Financial Acc,0.16,0.41,0.24,0.03,0.03,0.0,0.0,0.14,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,4,Intermediate Financial Acc,0.38,0.41,0.15,0.0,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,5,Intermediate Financial Acc,0.3,0.25,0.35,0.03,0.05,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,6,Intermediate Financial Acc,0.36,0.38,0.15,0.05,0.05,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,104,Intermed Fin Acct II (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,terry daniel knause,True,ACCT-3120,2021
ACCT,3130,1,Analytics for Acct Dec Mak,0.35,0.26,0.35,0.03,0.0,0.0,0.0,0.0,babak mammadov,False,ACCT-3130,2021
ACCT,3130,2,Analytics for Acct Dec Mak,0.31,0.31,0.27,0.0,0.04,0.0,0.0,0.08,babak mammadov,False,ACCT-3130,2021
ACCT,3130,3,Analytics for Acct Dec Mak,0.21,0.48,0.14,0.07,0.07,0.0,0.0,0.03,phebian davis-culler,False,ACCT-3130,2021
ACCT,3130,4,Analytics for Acct Dec Mak,0.29,0.26,0.29,0.06,0.06,0.0,0.0,0.03,phebian davis-culler,False,ACCT-3130,2021
ACCT,3130,5,Analytics for Acct Dec Mak,0.08,0.42,0.38,0.12,0.0,0.0,0.0,0.0,phebian davis-culler,False,ACCT-3130,2021
ACCT,3130,6,Analytics for Acct Dec Mak,0.61,0.23,0.16,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-3130,2021
ACCT,3220,1,Accounting Information Sy,0.04,0.12,0.28,0.16,0.24,0.0,0.0,0.16,philip maiberger,False,ACCT-3220,2021
ACCT,3220,2,Accounting Information Sy,0.39,0.14,0.18,0.11,0.14,0.0,0.0,0.04,philip maiberger,False,ACCT-3220,2021
ACCT,3220,3,Accounting Information Sy,0.32,0.25,0.32,0.07,0.0,0.0,0.0,0.04,philip maiberger,False,ACCT-3220,2021
ACCT,3220,4,Accounting Information Sy,0.47,0.47,0.07,0.0,0.0,0.0,0.0,0.0,caleb jay martin,False,ACCT-3220,2021
ACCT,4040,1,Individual Taxation,0.58,0.29,0.1,0.0,0.03,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2021
ACCT,4040,2,Individual Taxation,0.78,0.19,0.03,0.0,0.0,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2021
ACCT,4040,3,Individual Taxation,0.78,0.14,0.08,0.0,0.0,0.0,0.0,0.0,mary gibson,False,ACCT-4040,2021
ACCT,4040,4,Individual Taxation,0.64,0.28,0.08,0.0,0.0,0.0,0.0,0.0,mary gibson,False,ACCT-4040,2021
ACCT,4100,1,Reporting and Mgmt Contr,0.2,0.49,0.29,0.03,0.0,0.0,0.0,0.0,gregory mcphee,False,ACCT-4100,2021
ACCT,4100,2,Reporting and Mgmt Contr,0.35,0.53,0.12,0.0,0.0,0.0,0.0,0.0,gregory mcphee,False,ACCT-4100,2021
ACCT,4150,1,Auditing,0.54,0.32,0.14,0.0,0.0,0.0,0.0,0.0,jeremy vinson,False,ACCT-4150,2021
ACCT,4150,2,Auditing,0.5,0.39,0.11,0.0,0.0,0.0,0.0,0.0,jeremy vinson,False,ACCT-4150,2021
ACCT,8520,1,Fin Acct Theory/Res,0.34,0.55,0.1,0.0,0.0,0.0,0.0,0.0,ralph welton,False,ACCT-8520,2021
ACCT,8520,2,Fin Acct Theory/Res,0.17,0.78,0.0,0.0,0.04,0.0,0.0,0.0,ralph welton,False,ACCT-8520,2021
ACCT,8540,1,Prof Responsibility,0.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8540,2021
ACCT,8540,2,Prof Responsibility,0.52,0.48,0.0,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8540,2021
ACCT,8540,3,Prof Responsibility,0.52,0.43,0.0,0.0,0.05,0.0,0.0,0.0,james barnes,False,ACCT-8540,2021
ACCT,8560,1,CPA Exam Review-A,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,suzanne pearse,False,ACCT-8560,2021
ACCT,8580,1,CPA Exam Review-F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,suzanne pearse,False,ACCT-8580,2021
ACCT,8620,1,Financial Auditing,0.81,0.19,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2021
ACCT,8620,2,Financial Auditing,0.57,0.4,0.0,0.0,0.03,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2021
ACCT,8710,1,Corporate Taxation,0.38,0.53,0.09,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2021
ACCT,8710,2,Corporate Taxation,0.23,0.65,0.13,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2021
ACCT,8710,3,Corporate Taxation,0.13,0.67,0.17,0.0,0.04,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2021
ACCT,8730,1,Intl/Spec Tax Topic,0.38,0.47,0.16,0.0,0.0,0.0,0.0,0.0,kathryn kisska-schulze,False,ACCT-8730,2021
ACCT,8810,1,Internal Controls,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,suzanne pearse,False,ACCT-8810,2021
AGED,2030,1,Teaching Agriscience,0.33,0.5,0.08,0.0,0.0,0.0,0.0,0.08,catherine dibenedetto,False,AGED-2030,2021
AGED,4800,1,Digital Media & Learning,0.65,0.15,0.15,0.05,0.0,0.0,0.0,0.0,kevin layfield,False,AGED-4800,2021
